site,n_test,model,mae,rmse,r2,harmonized
ABIDEI-CALTECH,19,ElasticNet,6.768191402290492,8.405622085442532,0.406962818633257,True
ABIDEI-CALTECH,19,RandomForest,5.559798579974956,8.096816277190896,0.4497364164758575,True
ABIDEI-CALTECH,19,XGBoost,5.245843917445132,7.834216488350577,0.48485043271611694,True
ABIDEI-CMU,13,ElasticNet,8.18969680409734,9.647218862757457,-2.057665741023409,True
ABIDEI-CMU,13,RandomForest,6.591560999579695,8.582897613283933,-1.4202131052448372,True
ABIDEI-CMU,13,XGBoost,7.730562503521259,10.162830407851965,-2.393244090375298,True
ABIDEI-KKI,32,ElasticNet,5.130822846035582,6.874490067089939,-28.800489016612655,True
ABIDEI-KKI,32,RandomForest,1.824727050420752,3.014350976666422,-4.729675803236192,True
ABIDEI-KKI,32,XGBoost,1.7004464614391324,2.9228831872347123,-4.387227692732694,True
ABIDEI-LEUVEN,35,ElasticNet,6.107139027421343,8.42413853394308,-1.9386635548613342,True
ABIDEI-LEUVEN,35,RandomForest,3.6142159895634243,7.390037300392064,-1.2614767517171503,True
ABIDEI-LEUVEN,35,XGBoost,3.5865815080915175,7.180894141239891,-1.1352853265367076,True
ABIDEI-MAX_MUN,33,ElasticNet,7.507787767504723,9.04480257121316,0.12163147596896129,True
ABIDEI-MAX_MUN,33,RandomForest,7.124577014856355,9.488896848473738,0.03325923388813912,True
ABIDEI-MAX_MUN,33,XGBoost,7.027716521060828,9.730106218376497,-0.016514888546803608,True
ABIDEI-NYU,104,ElasticNet,6.891658030600403,8.834922016816114,-1.0200458046306111,True
ABIDEI-NYU,104,RandomForest,3.870162751205797,6.803017242587888,-0.19772997802833814,True
ABIDEI-NYU,104,XGBoost,3.802734416448153,6.638854271286596,-0.1406227973304781,True
ABIDEI-OHSU,15,ElasticNet,6.361747862401422,7.326745606886757,-48.180947745527604,True
ABIDEI-OHSU,15,RandomForest,1.5904443163695414,1.9512947465451977,-2.4883529404334626,True
ABIDEI-OHSU,15,XGBoost,1.5688226674397787,1.9196398411565654,-2.376091264672967,True
ABIDEI-OLIN,14,ElasticNet,6.62498099820892,8.987494871987245,-5.615926685542591,True
ABIDEI-OLIN,14,RandomForest,3.3414975781624463,5.216820474367128,-1.229077437905603,True
ABIDEI-OLIN,14,XGBoost,3.5587460654122487,5.439783992543769,-1.4236878301566835,True
ABIDEI-PITT,27,ElasticNet,7.268503325387122,9.29676512854223,-1.0385022270010222,True
ABIDEI-PITT,27,RandomForest,3.93358689384684,5.8405831381519,0.19543730380998525,True
ABIDEI-PITT,27,XGBoost,3.569805262530292,5.344781370125611,0.3262366835245335,True
ABIDEI-SBL,15,ElasticNet,5.667098982929027,6.314144085929971,0.02112685551898752,True
ABIDEI-SBL,15,RandomForest,7.364611367124299,8.777564530125675,-0.8916705361323747,True
ABIDEI-SBL,15,XGBoost,7.213819376627604,8.837245407782662,-0.9174818790276678,True
ABIDEI-SDSU,21,ElasticNet,5.5777774918242855,8.742584473019331,-20.330403006363966,True
ABIDEI-SDSU,21,RandomForest,3.417611782815771,7.306720337272872,-13.899248259691081,True
ABIDEI-SDSU,21,XGBoost,3.376100603739421,6.705653842908112,-11.548784108260827,True
ABIDEI-STANFORD,12,ElasticNet,6.887267923144278,8.419244557192808,-26.38472181749989,True
ABIDEI-STANFORD,12,RandomForest,1.4318579040759973,1.8387471445738122,-0.3061892541452538,True
ABIDEI-STANFORD,12,XGBoost,1.5299872398376462,1.808455793778289,-0.2635076578741091,True
ABIDEI-TRINITY,25,ElasticNet,6.477518879336065,7.798025703278124,-3.456173524510091,True
ABIDEI-TRINITY,25,RandomForest,3.8269173229117195,5.094947757901132,-0.9022703545940067,True
ABIDEI-TRINITY,25,XGBoost,3.6188252777099614,4.891763742729707,-0.7535724626616989,True
ABIDEI-UM,72,ElasticNet,6.139064258559616,7.818815876288357,-3.6891827758416724,True
ABIDEI-UM,72,RandomForest,3.0940680020553857,4.170565670520851,-0.33415140204155835,True
ABIDEI-UM,72,XGBoost,2.764158648914761,3.732811667964386,-0.0687776090432255,True
ABIDEI-USM,43,ElasticNet,6.599696191519213,8.170991077517511,-0.17044227918333021,True
ABIDEI-USM,43,RandomForest,5.261300336479856,7.075143542017243,0.12245167961631176,True
ABIDEI-USM,43,XGBoost,5.255336049989212,7.207840243686602,0.08922556185999586,True
ABIDEII-EMC_1,25,ElasticNet,5.047290050805143,6.271818352601894,-37.97507409812679,True
ABIDEII-EMC_1,25,RandomForest,1.9975386964634916,2.4706742340379404,-5.048267330706729,True
