site,n_test,model,mae,rmse,r2,harmonized
ABIDEI-CALTECH,19,ElasticNet,6.067422303526937,8.281369553934246,0.42436587378091517,False
ABIDEI-CALTECH,19,RandomForest,4.663551064429769,7.6577233313738855,0.5078000725938063,False
ABIDEI-CALTECH,19,XGBoost,4.669452857971192,7.758297263003464,0.4947863989302178,False
ABIDEI-CMU,13,ElasticNet,5.574311059743693,6.9470865696167605,-0.5855909788436391,False
ABIDEI-CMU,13,RandomForest,3.384955619551382,4.16672998741264,0.4296040133801261,False
ABIDEI-CMU,13,XGBoost,3.9972496766310472,4.628251126013237,0.29624810769054566,False
ABIDEI-KKI,32,ElasticNet,6.90176277368189,8.538151226871076,-44.96953371995772,False
ABIDEI-KKI,32,RandomForest,2.882083515148297,4.723532173807886,-13.069419174179968,False
ABIDEI-KKI,32,XGBoost,2.3439649581909174,3.880236309097966,-8.494208472408333,False
ABIDEI-LEUVEN,35,ElasticNet,15.711999220655438,16.884646473660062,-10.805457183772162,False
ABIDEI-LEUVEN,35,RandomForest,13.468921836614514,16.67494703695627,-10.514041566562588,False
ABIDEI-LEUVEN,35,XGBoost,12.474505811418807,16.571446889552313,-10.371551568257717,False
ABIDEI-MAX_MUN,33,ElasticNet,6.860052398261232,8.184424381308053,0.28079141569520794,False
ABIDEI-MAX_MUN,33,RandomForest,7.6649917683328015,10.14429018503727,-0.10489729297346995,False
ABIDEI-MAX_MUN,33,XGBoost,7.624190446102258,10.233705062268799,-0.12446094018634346,False
ABIDEI-NYU,104,ElasticNet,7.381611053183182,9.01992139496139,-1.105529264311241,False
ABIDEI-NYU,104,RandomForest,3.9281066783034366,7.141764308116739,-0.3199783356766046,False
ABIDEI-NYU,104,XGBoost,3.981542047353891,7.060183849969727,-0.2899943170367856,False
ABIDEI-OHSU,15,ElasticNet,4.319396163124734,4.900021516314244,-20.99736405944691,False
ABIDEI-OHSU,15,RandomForest,1.6965908264879308,2.0391920538169663,-2.809701322533179,False
ABIDEI-OHSU,15,XGBoost,1.3657362594604492,1.7558842498427003,-1.8246616584507809,False
ABIDEI-OLIN,14,ElasticNet,7.319408619653326,9.189004222750016,-5.91592500071904,False
ABIDEI-OLIN,14,RandomForest,2.9745165154176347,4.2460258911522875,-0.47665366911565976,False
ABIDEI-OLIN,14,XGBoost,3.407579626355852,4.748605577863578,-0.846909305092749,False
ABIDEI-PITT,27,ElasticNet,7.961937490799229,9.506983524598464,-1.1317337175139013,False
ABIDEI-PITT,27,RandomForest,4.944747308641977,6.377531809385341,0.04070376770895834,False
ABIDEI-PITT,27,XGBoost,5.479175002486618,6.9426571175308265,-0.13683884777378053,False
ABIDEI-SBL,15,ElasticNet,9.529029185990733,10.561034762629372,-1.738485097438876,False
ABIDEI-SBL,15,RandomForest,5.747940900798123,6.794676437897291,-0.13353516767091245,False
ABIDEI-SBL,15,XGBoost,8.482883707682292,9.89301398570345,-1.403005050992788,False
ABIDEI-SDSU,21,ElasticNet,5.313673501788928,6.3848902580848295,-10.376960770822576,False
ABIDEI-SDSU,21,RandomForest,3.229682356664942,3.9865424027049268,-3.4351893114636063,False
ABIDEI-SDSU,21,XGBoost,3.187929861886161,3.5876822100884986,-2.5920909195888453,False
ABIDEI-STANFORD,12,ElasticNet,14.72676669226305,18.181767986607735,-126.71276483978995,False
ABIDEI-STANFORD,12,RandomForest,14.499994620434238,17.402924868919843,-116.00558019481578,False
ABIDEI-STANFORD,12,XGBoost,8.394911502202351,10.959198535715817,-45.4001808428985,False
ABIDEI-TRINITY,25,ElasticNet,5.020247162505632,5.886407208073257,-1.5391793291012235,False
ABIDEI-TRINITY,25,RandomForest,2.747474838594711,3.5107497741514897,0.09678212778351591,False
ABIDEI-TRINITY,25,XGBoost,2.6024113845825196,3.355730364438885,0.17478543498078503,False
ABIDEI-UM,72,ElasticNet,10.422718054710426,12.03782382265567,-10.11504319551427,False
ABIDEI-UM,72,RandomForest,6.994576596064817,9.130321856650605,-5.394216890928755,False
ABIDEI-UM,72,XGBoost,4.348908250861697,6.224369498572015,-1.9717065433271634,False
ABIDEI-USM,43,ElasticNet,5.29285664807062,6.489574476439218,0.26169982657896507,False
ABIDEI-USM,43,RandomForest,3.4879648769021885,4.711445957790574,0.6108572384607511,False
ABIDEI-USM,43,XGBoost,3.5834541631299386,4.62312983813578,0.6253094761079254,False
ABIDEII-EMC_1,25,ElasticNet,4.309404607272213,5.669003834762026,-30.842965611545896,False
ABIDEII-EMC_1,25,RandomForest,1.9655643057360916,2.3927051862532718,-4.672550725733916,False
ABIDEII-EMC_1,25,XGBoost,1.9580572097045896,2.334239515747733,-4.398720450620217,False
ABIDEII-ETH_1,24,ElasticNet,9.868725272548406,11.205924676394812,-5.459949841403155,False
ABIDEII-ETH_1,24,RandomForest,10.006295938078972,13.805433134494303,-8.80468898040679,False
ABIDEII-ETH_1,24,XGBoost,9.444930971590678,13.163172334595739,-7.913635740097792,False
ABIDEII-GU_1,51,ElasticNet,3.8683745809708507,5.124625408964071,-8.003535933860917,False
ABIDEII-GU_1,51,RandomForest,1.2260994417678175,1.545105432371108,0.18152561936327016,False
ABIDEII-GU_1,51,XGBoost,1.3120771204869885,1.6543797319969313,0.061662111486203264,False
ABIDEII-IP_1,32,ElasticNet,6.525920178678322,8.591995226729548,0.43736543158543617,False
ABIDEII-IP_1,32,RandomForest,6.116823318366714,8.258919306954615,0.4801419140487462,False
ABIDEII-IP_1,32,XGBoost,6.439443251371385,8.72516074603489,0.41978997107124705,False
ABIDEII-IU_1,20,ElasticNet,4.599954749629927,5.589268827624817,-0.37092379714573753,False
ABIDEII-IU_1,20,RandomForest,5.316255647094119,7.151088893519794,-1.2441282441260402,False
ABIDEII-IU_1,20,XGBoost,5.5315369129180905,7.4077034980672565,-1.408077723105995,False
ABIDEII-KKI_32ch,45,ElasticNet,4.503709304772578,5.41875789479097,-17.907754021738388,False
ABIDEII-KKI_32ch,45,RandomForest,1.3962065761494022,1.7953419467761906,-1.07555766843856,False
ABIDEII-KKI_32ch,45,XGBoost,1.317463187584771,1.6760509922905413,-0.8089014364790541,False
ABIDEII-KKI_8ch,107,ElasticNet,4.019266876680458,5.101312165146699,-18.10211575197773,False
ABIDEII-KKI_8ch,107,RandomForest,1.265313014190448,2.1808792123665963,-2.491249591492372,False
ABIDEII-KKI_8ch,107,XGBoost,1.2577570503876585,2.1509568939814865,-2.396104819736964,False
