held_out_site,n,mae,nested_params
ABIDEI-CALTECH,19,5.247177756460089,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-CMU,13,7.993290094228891,"{'subsample': 0.85, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.85}"
ABIDEI-KKI,32,1.52969820022583,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-LEUVEN,35,3.666373421805245,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-MAX_MUN,33,7.224025321729256,"{'subsample': 0.85, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.85}"
ABIDEI-NYU,104,3.7975887500322782,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-OHSU,15,1.4895313237508139,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-OLIN,14,3.3871729714529857,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-PITT,27,3.7496548716227216,"{'subsample': 0.85, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
ABIDEI-SBL,15,7.363739903767904,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-SDSU,21,3.3587046741303945,"{'subsample': 0.85, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
ABIDEI-STANFORD,12,1.37717027982076,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-TRINITY,25,4.003548547363281,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-UM,72,2.978398344251845,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEI-USM,43,5.068872680664063,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-EMC_1,25,1.9298132979125975,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-ETH_1,24,5.22417822526296,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-GU_1,51,1.5608552148317822,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-IP_1,32,5.020722465276718,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-IU_1,20,4.985025215148926,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-KKI_32ch,45,1.7298971105685763,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-KKI_8ch,107,1.4704016848583754,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-NYU_1,30,1.9606140701293946,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-OHSU_1,55,1.6263928500088778,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-TCD_1,21,3.2089636212303523,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
ABIDEII-UCD_1,14,2.238685079193115,"{'subsample': 0.85, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
ABIDEII-UCLA_1,15,1.9172586900634765,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
NKI2,73,2.076831608602445,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
IXI-Guys,309,10.152883587068724,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
IXI-HH,178,7.467102163936314,"{'subsample': 0.85, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
